"","Molecule.Name","Mean.Peak.Area","SD.Peak.Area","CV.Peak.Area","Mean.Peak.Area.B1.Norm","SD.Peak.Area.B1.Norm","CV.Peak.Area.B1.Norm","Mean.Peak.Area.B2.Norm","SD.Peak.Area.B2.Norm","CV.Peak.Area.B2.Norm","Mean.Peak.Area.B12-CN.Norm","SD.Peak.Area.B12-CN.Norm","CV.Peak.Area.B12-CN.Norm","Mean.Peak.Area.B7.Norm","SD.Peak.Area.B7.Norm","CV.Peak.Area.B7.Norm","BMIS","deltaCV","BMIS_used","Final.BMIS.Norm.Peak"
"1","B1","84697.5","41883.4455602688","49.4506278937026","3.41461475484245","0.951036717716487","27.8519477597808","0.262503146093512","0.138409391526151","52.7267553116659","1.49696554908163","0.619391447453627","41.3764664012218","0.192139700499567","0.0994367162291999","51.7523010448453","B1","21.5986801339219","B1","3.41461475484245"
"2","B12-Ado","959.375","435.869881468574","45.4326912279947","0.0416670316491572","0.0175088195368785","42.0207988039692","0.00291425181960194","0.00122902814256649","42.1730247983293","0.0170452988472356","0.00636682883761542","37.352403701904","0.00215793881997861","0.000999571884162974","46.3206776257393","B12-CN","8.08028752609064","B12-CN","0.0170452988472356"
"3","B12-CN","3172.75","749.296956200563","23.6166403341128","0.140560366472325","0.035279569047952","25.0992295576423","0.0097033275732401","0.00207585250712337","21.3932023984038","0.0578455088304723","0.00842188868263975","14.5592784174857","0.00714416003578083","0.00168331317709803","23.5620866367399","B12-CN","9.05736191662706","B12-CN","0.0578455088304723"
"4","B12-Me","2089","664.847565773002","31.8261161212543","0.0972837944716606","0.0417241175267406","42.8890728957895","0.00640490265438271","0.00202879288625468","31.6756240606784","0.0386817393078711","0.0116331934416877","30.0741219237794","0.00466704502256721","0.00131102656488161","28.0911488649076","B7","3.73496725634668","B7","0.00466704502256721"
"5","B12-OH","123916.5","25443.5080240801","20.5327845961435","5.48759335684541","1.24173395919551","22.6280243168261","0.381075420293881","0.0793341869170107","20.8185001425253","2.26387955366803","0.246949089888749","10.9082256380924","0.278589341278078","0.0547518150477512","19.6532339667295","B12-CN","9.62455895805104","B12-CN","2.26387955366803"
"6","B2","14102.75","2567.50744886943","18.2057219256487","0.642067053167586","0.195422774525619","30.4365055894889","0.0431408921641853","0.00635846392764605","14.7388327145555","0.261913096679392","0.0489963995247983","18.7071208526753","0.0317518478854732","0.00579193207712594","18.2412440939408","B2","3.46688921109326","B2","0.0431408921641853"
"7","B3","191178.625","82604.0472251944","43.2077839377673","7.86729288175286","1.64465360541143","20.9049495186074","0.593416978692969","0.278583495250175","46.9456563012015","3.41260637377703","1.16683380647561","34.1918662357819","0.434034295960389","0.199950545650729","46.0679138749388","B1","22.3028344191599","none","191178.625"
"8","B5","15397960.75","3513028.103686","22.8148919244777","680.089501098492","152.483929142757","22.4211561708367","47.2085886155141","10.1959421633809","21.5976424256628","279.738294108654","34.1204488486189","12.19727494133","34.7019179439158","8.16193870440054","23.5201371797133","B12-CN","10.6176169831477","none","15397960.75"
"9","B6","30439.875","33396.0167361212","109.711412205606","1.35595117447009","1.42384552953458","105.00713863027","0.0932609200438114","0.100283024697182","107.529525389705","0.55003728242072","0.556327240333379","101.14355119438","0.0690149285999901","0.0751411057154116","108.876597048921","B12-CN","8.5678610112256","none","30439.875"
"10","B7","25892.125","4449.36035330601","17.1842224356093","1.17176154241117","0.352225338114161","30.0594724579692","0.079375116544378","0.0126732366866246","15.9662589969731","0.479399338953961","0.0878197164427665","18.3186978593644","0.0584462938841117","0.0108059816251627","18.4887371072475","B2","1.21796343863629","none","25892.125"
"11","B9","12444.75","2274.78185767339","18.2790482546728","0.554589738814062","0.115648252508331","20.8529376608435","0.038269352770825","0.00721401215076805","18.8506249216415","0.228301605412859","0.0233436362100661","10.2249111073273","0.0281081575067634","0.005711177409735","20.3185762295546","B12-CN","8.05413714734544","none","12444.75"
"12","DMB","24204.125","6092.307196961","25.1705326962285","1.06363882648528","0.250055775289358","23.5094628987596","0.0740700537045645","0.0169685932408062","22.908844252344","0.440004862653101","0.0718184097556344","16.3221854691765","0.0545513658622988","0.0139051035473708","25.4899273878325","B12-CN","8.84834722705198","none","24204.125"
"13","DMSP","585117.25","297855.116589905","50.905201750573","23.4598283322145","5.51637794761312","23.5141445602062","1.80826384205233","0.976575733910268","54.0062634223709","10.3213714036703","4.26870785954631","41.3579522778178","1.32908478311608","0.708791409366102","53.3292848108846","B1","27.3910571903668","none","585117.25"
"14","FAMP","50469.375","17304.9774007158","34.2880754927435","2.21218316325005","0.716719167918918","32.3987262820472","0.153656283671771","0.0467570588679451","30.4296431949532","0.919819089171487","0.250158978218166","27.1965412724248","0.113222158038616","0.0369667962756728","32.6497895076904","B12-CN","7.0915342203187","none","50469.375"
"15","GBT","1240326.125","703837.42620142","56.7461582897337","49.633713858077","7.8624595432089","15.84096560997","3.85430481715266","2.36604704687223","61.3871283958318","22.1236202329782","10.3279207251125","46.6827789319822","2.82229627892645","1.67986366806447","59.5211665269766","B1","40.9051926797637","B1","49.633713858077"
"16","Glutathione","23928","3796.79880199849","15.8675978017322","1.0780415354379","0.271240005875068","25.1604411294683","0.0735027982285738","0.0112557926359775","15.31342058703","0.441798565109726","0.0629723026641201","14.2536231751862","0.0538225431634441","0.00796062656969535","14.7905061741901","B12-CN","1.613974626546","none","23928"
"17","HET","10778","3755.57581660732","34.8448303637717","0.462822509173741","0.0871085108216716","18.8211483009292","0.0333960548873953","0.0129839358776636","38.8786517492643","0.197716727390674","0.0555764032257248","28.1091053646209","0.0243819701694235","0.00900597431807039","36.9370245943638","B1","16.0236820628425","none","10778"
"18","HMP","265722.5","97102.6608286302","36.5428824539248","11.8122762324121","4.71956691388222","39.9547624947343","0.811060437678083","0.272203381899758","33.5614177753542","4.84022584631065","1.43552764537954","29.6582781663738","0.593354112847126","0.195056026849199","32.8734599838283","B12-CN","6.88460428755094","none","265722.5"
"19","Homarine","13528988.5","8757394.52538412","64.73059331364","527.140694276264","163.24217519744","30.9674773679848","42.0443324746444","29.0675027061415","69.1353649714172","238.238253718983","131.959263990129","55.389620235289","30.935307278699","20.8737392655997","67.4754547531926","B1","33.7631159456552","B1","527.140694276264"
"20","IAA","44581.375","9811.80964723488","22.0087640796967","2.07238993051115","0.808239196697968","39.0003437479847","0.137213705930989","0.0306702986531431","22.3522121533314","0.839063136828195","0.235497977551819","28.0667767674841","0.0998641578667792","0.018227433529095","18.2522277446236","B7","3.75653633507312","none","44581.375"
"21","Methionine","174766.375","201261.542523963","115.160334774903","6.17503728986781","4.82684021104283","78.1669807721301","0.552463961608204","0.663379794663611","120.076573453322","3.01772150516181","3.22945470791629","107.016326801274","0.402455028298666","0.470864162928436","116.997957490794","B1","36.9933540027733","B1","6.17503728986781"
"22","Proline","7730311","5137737.42453719","66.4622345017838","304.79591563746","75.3153256323525","24.7100836226219","24.0322707869468","17.1647768444415","71.4238658369501","137.96647534948","77.9554652276746","56.5031940043457","17.5935629235769","12.1630923168145","69.1337642616714","B1","41.7521508791619","B1","304.79591563746"
"23","SAH","7600.25","3823.33809834884","50.3054254576999","0.309852574504959","0.0944293765138081","30.4755823522444","0.0235645435807645","0.0124590224989907","52.8719024677435","0.135558203740174","0.0559105001423713","41.244645178049","0.0173330777484285","0.00910159435701882","52.5099724879732","B1","19.8298431054555","none","7600.25"
"24","SAM","14207.75","6421.63051724404","45.1980821540641","0.584146111309661","0.16326774271017","27.9498124782722","0.0437609911044427","0.0205197327491334","46.8904662148984","0.25378727554801","0.0953409734684982","37.5672788411578","0.0321114176742297","0.0149340692171166","46.5070379907318","B1","17.2482696757919","none","14207.75"
"25","TMP","853.375","497.16336421169","58.2584870908675","0.0383938329895155","0.0234683277844207","61.1252536073422","0.00266046272306701","0.00161929191707219","60.8650481373951","0.0163894951264397","0.00994314611790588","60.6677999608757","0.00194267177094244","0.00117123948294738","60.2901375552072","B7","-2.03165046433976","none","853.375"
"26","cHET","658843.75","105515.603770587","16.0152697465198","29.2246460105416","5.57092866500794","19.06243334136","2.02878666216876","0.354980170392417","17.4971660161126","12.0874309807441","0.73324958445607","6.06621527456225","1.48542683298189","0.250416244563602","16.8582012256308","B12-CN","9.94905447195756","none","658843.75"
