"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ"
"cHET_df.15","27",1346284,"cHET","none",1346284,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"cHET_df.16","28",1171843,"cHET","none",1171843,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"cHET_df.17","28",1004764,"cHET","none",1004764,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"cHET_df.18","28",1027852,"cHET","none",1027852,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B7_df.1","06",93309,"B7","none",93309,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B7_df.2","06",89586,"B7","none",89586,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B7_df.3","06",98316,"B7","none",98316,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B7_df.4","15",313680,"B7","none",313680,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B7_df.5","15",296917,"B7","none",296917,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B7_df.6","15",286850,"B7","none",286850,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B7_df.7","16",141376,"B7","none",141376,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B7_df.8","16",184033,"B7","none",184033,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B7_df.9","16",152229,"B7","none",152229,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B7_df.10","24",56586,"B7","none",56586,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B7_df.11","24",70817,"B7","none",70817,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B7_df.12","24",65157,"B7","none",65157,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B7_df.13","27",78748,"B7","none",78748,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B7_df.14","27",83095,"B7","none",83095,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B7_df.15","27",76474,"B7","none",76474,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B7_df.16","28",72053,"B7","none",72053,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B7_df.17","28",57697,"B7","none",57697,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B7_df.18","28",67054,"B7","none",67054,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B1_df.1","06",145019,"B1","B1",2.14610865286431,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B1_df.2","06",156898,"B1","B1",2.14690548843065,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B1_df.3","06",142711,"B1","B1",2.00403021962591,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B1_df.4","15",82620,"B1","B1",2.54544334216526,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B1_df.5","15",90722,"B1","B1",2.5318709533378,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B1_df.6","15",116360,"B1","B1",3.78258890839347,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B1_df.7","16",206597,"B1","B1",5.73148199522832,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B1_df.8","16",174857,"B1","B1",4.80059850647924,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B1_df.9","16",207557,"B1","B1",8.03612358680502,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B1_df.10","24",144166,"B1","B1",3.42404522135664,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B1_df.11","24",147365,"B1","B1",3.6577889197776,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B1_df.12","24",113489,"B1","B1",2.74068439228187,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B1_df.13","27",138967,"B1","B1",3.19383604146078,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B1_df.14","27",100707,"B1","B1",2.03116113027168,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B1_df.15","27",140138,"B1","B1",3.13901084132246,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B1_df.16","28",75752,"B1","B1",2.97732185669929,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B1_df.17","28",84189,"B1","B1",3.47515066457525,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B1_df.18","28",76013,"B1","B1",2.91527958886247,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"TMP_df.1","06",2088,"TMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"TMP_df.2","06",1136,"TMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"TMP_df.3","06",2320,"TMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"TMP_df.4","15",496,"TMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"TMP_df.5","15",914,"TMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"TMP_df.6","15",1195,"TMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"TMP_df.7","16",1134,"TMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"TMP_df.8","16",1363,"TMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"TMP_df.9","16",3011,"TMP","none",3011,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,TRUE
"TMP_df.10","24",590,"TMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"TMP_df.11","24",2339,"TMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"TMP_df.12","24",1691,"TMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"TMP_df.13","27",1815,"TMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"TMP_df.14","27",1980,"TMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"TMP_df.15","27",1143,"TMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"TMP_df.16","28",917,"TMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"TMP_df.17","28",2805,"TMP","none",2805,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"TMP_df.18","28",22,"TMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"SAH_df.1","06",13591,"SAH","none",13591,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAH_df.2","06",13129,"SAH","none",13129,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAH_df.3","06",12780,"SAH","none",12780,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAH_df.4","15",20995,"SAH","none",20995,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAH_df.5","15",16805,"SAH","none",16805,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAH_df.6","15",18927,"SAH","none",18927,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAH_df.7","16",117288,"SAH","none",117288,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"SAH_df.8","16",78540,"SAH","none",78540,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"SAH_df.9","16",133461,"SAH","none",133461,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"SAH_df.10","24",9372,"SAH","none",9372,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"SAH_df.11","24",12450,"SAH","none",12450,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"SAH_df.12","24",18693,"SAH","none",18693,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"SAH_df.13","27",47806,"SAH","none",47806,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"SAH_df.14","27",48351,"SAH","none",48351,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"SAH_df.15","27",45212,"SAH","none",45212,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"SAH_df.16","28",12182,"SAH","none",12182,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"SAH_df.17","28",12207,"SAH","none",12207,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"SAH_df.18","28",17626,"SAH","none",17626,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"SAM_df.1","06",39212,"SAM","none",39212,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAM_df.2","06",39398,"SAM","none",39398,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAM_df.3","06",43240,"SAM","none",43240,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAM_df.4","15",39994,"SAM","none",39994,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAM_df.5","15",39904,"SAM","none",39904,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAM_df.6","15",42210,"SAM","none",42210,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAM_df.7","16",93471,"SAM","none",93471,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"SAM_df.8","16",70797,"SAM","none",70797,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"SAM_df.9","16",85433,"SAM","none",85433,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"SAM_df.10","24",36652,"SAM","none",36652,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"SAM_df.11","24",39113,"SAM","none",39113,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"SAM_df.12","24",39134,"SAM","none",39134,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"SAM_df.13","27",67442,"SAM","none",67442,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"SAM_df.14","27",75543,"SAM","none",75543,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"SAM_df.15","27",67330,"SAM","none",67330,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"SAM_df.16","28",56938,"SAM","none",56938,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"SAM_df.17","28",55092,"SAM","none",55092,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"SAM_df.18","28",58173,"SAM","none",58173,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-OH_df.1","06",254157,"B12-OH","B12-CN",1.24886737752445,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B12-OH_df.2","06",249181,"B12-OH","B12-CN",1.23501219246248,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B12-OH_df.3","06",252668,"B12-OH","B12-CN",1.35732089905024,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B12-OH_df.4","15",2396,"B12-OH","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-OH_df.5","15",1451,"B12-OH","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-OH_df.6","15",1169,"B12-OH","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-OH_df.7","16",1675,"B12-OH","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-OH_df.8","16",2798,"B12-OH","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-OH_df.9","16",4090,"B12-OH","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-OH_df.10","24",200379,"B12-OH","B12-CN",2.37598861682575,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-OH_df.11","24",192489,"B12-OH","B12-CN",2.41171974841507,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-OH_df.12","24",194186,"B12-OH","B12-CN",2.68123826355904,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-OH_df.13","27",1456,"B12-OH","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-OH_df.14","27",491,"B12-OH","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-OH_df.15","27",1607,"B12-OH","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-OH_df.16","28",213361,"B12-OH","B12-CN",2.82010917694331,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-OH_df.17","28",124673,"B12-OH","B12-CN",2.26377716848546,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-OH_df.18","28",162805,"B12-OH","B12-CN",2.11278663846244,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-Me_df.1","06",6977,"B12-Me","B7",0.00556351191007795,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE
"B12-Me_df.2","06",4467,"B12-Me","B7",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"B12-Me_df.3","06",5395,"B12-Me","B7",0.0041753798860458,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE
"B12-Me_df.4","15",468,"B12-Me","B7",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-Me_df.5","15",506,"B12-Me","B7",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-Me_df.6","15",509,"B12-Me","B7",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-Me_df.7","16",1514,"B12-Me","B7",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-Me_df.8","16",2897,"B12-Me","B7",0.00389209087367162,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,TRUE
"B12-Me_df.9","16",2195,"B12-Me","B7",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-Me_df.10","24",4739,"B12-Me","B7",0.00769419355467196,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-Me_df.11","24",5741,"B12-Me","B7",0.00924198349289344,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-Me_df.12","24",6058,"B12-Me","B7",0.00960092300719039,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-Me_df.13","27",807,"B12-Me","B7",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-Me_df.14","27",430,"B12-Me","B7",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-Me_df.15","27",284,"B12-Me","B7",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-Me_df.16","28",9381,"B12-Me","B7",0.0141601068687311,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-Me_df.17","28",9172,"B12-Me","B7",0.0169067877840532,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-Me_df.18","28",6855,"B12-Me","B7",0.0108623312416809,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-CN_df.1","06",3917,"B12-CN","B12-CN",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"B12-CN_df.2","06",3124,"B12-CN","B12-CN",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"B12-CN_df.3","06",3231,"B12-CN","B12-CN",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"B12-CN_df.4","15",682,"B12-CN","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-CN_df.5","15",330,"B12-CN","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-CN_df.6","15",1161,"B12-CN","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-CN_df.7","16",934,"B12-CN","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-CN_df.8","16",287,"B12-CN","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-CN_df.9","16",1480,"B12-CN","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-CN_df.10","24",3702,"B12-CN","B12-CN",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"B12-CN_df.11","24",3221,"B12-CN","B12-CN",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"B12-CN_df.12","24",4738,"B12-CN","B12-CN",0.065420302662101,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,TRUE
"B12-CN_df.13","27",397,"B12-CN","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-CN_df.14","27",490,"B12-CN","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-CN_df.15","27",665,"B12-CN","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-CN_df.16","28",3186,"B12-CN","B12-CN",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"B12-CN_df.17","28",2964,"B12-CN","B12-CN",0.0538194759682603,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"B12-CN_df.18","28",4333,"B12-CN","B12-CN",0.0562311016520238,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"B12-Ado_df.1","06",1947,"B12-Ado","B12-CN",0.00956709743992924,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE
"B12-Ado_df.2","06",2229,"B12-Ado","B12-CN",0.0110475605162467,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE
"B12-Ado_df.3","06",4620,"B12-Ado","B12-CN",0.0248184279513516,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B12-Ado_df.4","15",299,"B12-Ado","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-Ado_df.5","15",224,"B12-Ado","B12-CN",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"B12-Ado_df.6","15",990,"B12-Ado","B12-CN",0.0124296906388108,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,TRUE
"B12-Ado_df.7","16",591,"B12-Ado","B12-CN",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"B12-Ado_df.8","16",1710,"B12-Ado","B12-CN",0.0195301346551389,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B12-Ado_df.9","16",947,"B12-Ado","B12-CN",0.0101849860184986,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,TRUE
"B12-Ado_df.10","24",624,"B12-Ado","B12-CN",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"B12-Ado_df.11","24",594,"B12-Ado","B12-CN",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"B12-Ado_df.12","24",1413,"B12-Ado","B12-CN",0.0195101071468022,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B12-Ado_df.13","27",58,"B12-Ado","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-Ado_df.14","27",231,"B12-Ado","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-Ado_df.15","27",522,"B12-Ado","B12-CN",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"B12-Ado_df.16","28",2021,"B12-Ado","B12-CN",0.0267126637323711,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B12-Ado_df.17","28",824,"B12-Ado","B12-CN",0.0149619595809199,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"B12-Ado_df.18","28",1106,"B12-Ado","B12-CN",0.0143530114071402,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
