Replicate.Name,Dilution,spiked_1,spiked_5
ER3_149_2fdQC_08,2,0,0
ER3_149_2fdQC_09,2,0,0
ER3_149_2fdQC_44,2,0,0
ER3_149_2fdQC_79,2,0,0
ER3_149_2fdQC_114,2,0,0
ER3_149_2fdQC_142,2,0,0
ER3_149_2fdQC_03,2,0,0
ER3_149_2fdQC_04,2,0,0
blk_07,,,
blk_19_210824190211,,,
ER3_149_2fdCal_p5fmol_20,2,0.5,2.5
ER3_149_2fdCal_p5fmol_21,2,0.5,2.5
ER3_149_2fdCal_p5fmol_22,2,0.5,2.5
ER3_149_2fdCal_1fmol_24,2,1,5
ER3_149_2fdCal_1fmol_25,2,1,5
ER3_149_2fdCal_1fmol_26,2,1,5
ER3_149_2fdCal_5fmol_28,2,5,25
ER3_149_2fdCal_5fmol_29,2,5,25
ER3_149_2fdCal_5fmol_30,2,5,25
ER3_149_2fdCal_10fmol_31,2,10,50
ER3_149_2fdCal_10fmol_32,2,10,50
ER3_149_2fdCal_10fmol_33,2,10,50
ER3_149_2fdCal_50fmol_35,2,50,250
ER3_149_2fdCal_50fmol_36,2,50,250
ER3_149_2fdCal_50fmol_37,2,50,250
ER3_149_2fdCal_100fmol_39,2,100,500
ER3_149_2fdCal_100fmol_40,2,100,500
ER3_149_2fdCal_100fmol_41,2,100,500