Sample.ID,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,Area.per.cell
20230120_ER4_124_01_87,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,-,A,7.7341E-05
20230120_ER4_124_01_88,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,-,A,5.93011E-05
20230120_ER4_124_02_90,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,-,B,0.000676671
20230120_ER4_124_02_91,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,-,B,0.000694471
20230120_ER4_124_03_93,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,-,C,0.000116618
20230120_ER4_124_03_94,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,-,C,0.000163216
20230120_ER4_124_04_96,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,+,A,0.000308152
20230120_ER4_124_04_97,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,+,A,0.000332864
20230120_ER4_124_05_100,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,+,B,0.000621493
20230120_ER4_124_05_99,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,+,B,0.000523031
20230120_ER4_124_06_104,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,+,C,0.000170493
20230120_ER4_124_06_105,Cobalamin,Dimethyl-benzimidazole(DMB),Deplete,Particulate,+,C,0.000209295
20230120_ER4_124_01_87,TRC,B1,Deplete,Particulate,-,A,0.003440678
20230120_ER4_124_01_88,TRC,B1,Deplete,Particulate,-,A,0.003541386
20230120_ER4_124_02_90,TRC,B1,Deplete,Particulate,-,B,0.005130135
20230120_ER4_124_02_91,TRC,B1,Deplete,Particulate,-,B,0.004416987
20230120_ER4_124_03_93,TRC,B1,Deplete,Particulate,-,C,0.004561776
20230120_ER4_124_03_94,TRC,B1,Deplete,Particulate,-,C,0.004953457
20230120_ER4_124_04_96,TRC,B1,Deplete,Particulate,+,A,0.004328545
20230120_ER4_124_04_97,TRC,B1,Deplete,Particulate,+,A,0.005022276
20230120_ER4_124_05_100,TRC,B1,Deplete,Particulate,+,B,0.003933986
20230120_ER4_124_05_99,TRC,B1,Deplete,Particulate,+,B,0.003933008
20230120_ER4_124_06_104,TRC,B1,Deplete,Particulate,+,C,0.002912929
20230120_ER4_124_06_105,TRC,B1,Deplete,Particulate,+,C,0.003039831
20230120_ER4_124_01_87,TRC,FAMP,Deplete,Particulate,-,A,0.03013321
20230120_ER4_124_01_88,TRC,FAMP,Deplete,Particulate,-,A,0.034326361
20230120_ER4_124_02_90,TRC,FAMP,Deplete,Particulate,-,B,0.027804162
20230120_ER4_124_02_91,TRC,FAMP,Deplete,Particulate,-,B,0.024186804
20230120_ER4_124_03_93,TRC,FAMP,Deplete,Particulate,-,C,0.02307711
20230120_ER4_124_03_94,TRC,FAMP,Deplete,Particulate,-,C,0.025234037
20230120_ER4_124_04_96,TRC,FAMP,Deplete,Particulate,+,A,0.016836124
20230120_ER4_124_04_97,TRC,FAMP,Deplete,Particulate,+,A,0.018053963
20230120_ER4_124_05_100,TRC,FAMP,Deplete,Particulate,+,B,0.024888757
20230120_ER4_124_05_99,TRC,FAMP,Deplete,Particulate,+,B,0.023353515
20230120_ER4_124_06_104,TRC,FAMP,Deplete,Particulate,+,C,0.014430289
20230120_ER4_124_06_105,TRC,FAMP,Deplete,Particulate,+,C,0.013959723
20230120_ER4_124_01_87,TRC,HET,Deplete,Particulate,-,A,0.000173182
20230120_ER4_124_01_88,TRC,HET,Deplete,Particulate,-,A,0.000134723
20230120_ER4_124_02_90,TRC,HET,Deplete,Particulate,-,B,0.000166345
20230120_ER4_124_02_91,TRC,HET,Deplete,Particulate,-,B,0.000173897
20230120_ER4_124_03_93,TRC,HET,Deplete,Particulate,-,C,0.000222854
20230120_ER4_124_03_94,TRC,HET,Deplete,Particulate,-,C,0.000179769
20230120_ER4_124_04_96,TRC,HET,Deplete,Particulate,+,A,0.000182791
20230120_ER4_124_04_97,TRC,HET,Deplete,Particulate,+,A,0.000198827
20230120_ER4_124_05_100,TRC,HET,Deplete,Particulate,+,B,0.000204124
20230120_ER4_124_05_99,TRC,HET,Deplete,Particulate,+,B,0.000187077
20230120_ER4_124_06_104,TRC,HET,Deplete,Particulate,+,C,0.000149125
20230120_ER4_124_06_105,TRC,HET,Deplete,Particulate,+,C,0.000155124
20230120_ER4_124_01_87,TRC,HMP,Deplete,Particulate,-,A,0.001211407
20230120_ER4_124_01_88,TRC,HMP,Deplete,Particulate,-,A,0.0013325
20230120_ER4_124_02_90,TRC,HMP,Deplete,Particulate,-,B,0.000314766
20230120_ER4_124_02_91,TRC,HMP,Deplete,Particulate,-,B,0.000239174
20230120_ER4_124_03_93,TRC,HMP,Deplete,Particulate,-,C,0.000349475
20230120_ER4_124_03_94,TRC,HMP,Deplete,Particulate,-,C,0.000413829
20230120_ER4_124_04_96,TRC,HMP,Deplete,Particulate,+,A,0.000233002
20230120_ER4_124_04_97,TRC,HMP,Deplete,Particulate,+,A,0.000245084
20230120_ER4_124_05_100,TRC,HMP,Deplete,Particulate,+,B,0.000208082
20230120_ER4_124_05_99,TRC,HMP,Deplete,Particulate,+,B,0.000261822
20230120_ER4_124_06_104,TRC,HMP,Deplete,Particulate,+,C,0.000131106
20230120_ER4_124_06_105,TRC,HMP,Deplete,Particulate,+,C,0.00011685
20230120_ER4_124_01_87,Vitamins,B2,Deplete,Particulate,-,A,9.59028E-05
20230120_ER4_124_01_88,Vitamins,B2,Deplete,Particulate,-,A,9.43407E-05
20230120_ER4_124_02_90,Vitamins,B2,Deplete,Particulate,-,B,0.000321156
20230120_ER4_124_02_91,Vitamins,B2,Deplete,Particulate,-,B,0.000327383
20230120_ER4_124_03_93,Vitamins,B2,Deplete,Particulate,-,C,0.000649452
20230120_ER4_124_03_94,Vitamins,B2,Deplete,Particulate,-,C,0.000599227
20230120_ER4_124_04_96,Vitamins,B2,Deplete,Particulate,+,A,0.000281607
20230120_ER4_124_04_97,Vitamins,B2,Deplete,Particulate,+,A,0.000328657
20230120_ER4_124_05_100,Vitamins,B2,Deplete,Particulate,+,B,0.000172785
20230120_ER4_124_05_99,Vitamins,B2,Deplete,Particulate,+,B,0.000143027
20230120_ER4_124_06_104,Vitamins,B2,Deplete,Particulate,+,C,0.000274463
20230120_ER4_124_06_105,Vitamins,B2,Deplete,Particulate,+,C,0.000262077
20230120_ER4_124_01_87,Vitamins,B5,Deplete,Particulate,-,A,0.004763746
20230120_ER4_124_01_88,Vitamins,B5,Deplete,Particulate,-,A,0.004891278
20230120_ER4_124_02_90,Vitamins,B5,Deplete,Particulate,-,B,0.003880337
20230120_ER4_124_02_91,Vitamins,B5,Deplete,Particulate,-,B,0.004417257
20230120_ER4_124_03_93,Vitamins,B5,Deplete,Particulate,-,C,0.004738135
20230120_ER4_124_03_94,Vitamins,B5,Deplete,Particulate,-,C,0.004881198
20230120_ER4_124_04_96,Vitamins,B5,Deplete,Particulate,+,A,0.004359823
20230120_ER4_124_04_97,Vitamins,B5,Deplete,Particulate,+,A,0.004743683
20230120_ER4_124_05_100,Vitamins,B5,Deplete,Particulate,+,B,0.004694473
20230120_ER4_124_05_99,Vitamins,B5,Deplete,Particulate,+,B,0.002441055
20230120_ER4_124_06_104,Vitamins,B5,Deplete,Particulate,+,C,0.004182909
20230120_ER4_124_06_105,Vitamins,B5,Deplete,Particulate,+,C,0.004242301
20230120_ER4_124_01_87,Vitamins,B6,Deplete,Particulate,-,A,0.063890206
20230120_ER4_124_01_88,Vitamins,B6,Deplete,Particulate,-,A,0.074465435
20230120_ER4_124_02_90,Vitamins,B6,Deplete,Particulate,-,B,0.079912828
20230120_ER4_124_02_91,Vitamins,B6,Deplete,Particulate,-,B,0.068222882
20230120_ER4_124_03_93,Vitamins,B6,Deplete,Particulate,-,C,0.076246751
20230120_ER4_124_03_94,Vitamins,B6,Deplete,Particulate,-,C,0.08104205
20230120_ER4_124_04_96,Vitamins,B6,Deplete,Particulate,+,A,0.065060022
20230120_ER4_124_04_97,Vitamins,B6,Deplete,Particulate,+,A,0.073640507
20230120_ER4_124_05_100,Vitamins,B6,Deplete,Particulate,+,B,0.075489945
20230120_ER4_124_05_99,Vitamins,B6,Deplete,Particulate,+,B,0.063686452
20230120_ER4_124_06_104,Vitamins,B6,Deplete,Particulate,+,C,0.048288828
20230120_ER4_124_06_105,Vitamins,B6,Deplete,Particulate,+,C,0.050263247
20230120_ER4_124_01_87,Vitamins,B7,Deplete,Particulate,-,A,1.33597E-05
20230120_ER4_124_01_88,Vitamins,B7,Deplete,Particulate,-,A,1.57927E-05
20230120_ER4_124_02_90,Vitamins,B7,Deplete,Particulate,-,B,1.5598E-05
20230120_ER4_124_02_91,Vitamins,B7,Deplete,Particulate,-,B,8.04694E-06
20230120_ER4_124_03_93,Vitamins,B7,Deplete,Particulate,-,C,1.73644E-05
20230120_ER4_124_03_94,Vitamins,B7,Deplete,Particulate,-,C,1.68066E-05
20230120_ER4_124_04_96,Vitamins,B7,Deplete,Particulate,+,A,1.44379E-05
20230120_ER4_124_04_97,Vitamins,B7,Deplete,Particulate,+,A,1.44639E-05
20230120_ER4_124_05_100,Vitamins,B7,Deplete,Particulate,+,B,1.26165E-05
20230120_ER4_124_05_99,Vitamins,B7,Deplete,Particulate,+,B,1.9595E-05
20230120_ER4_124_06_104,Vitamins,B7,Deplete,Particulate,+,C,8.44112E-06
20230120_ER4_124_06_105,Vitamins,B7,Deplete,Particulate,+,C,9.69194E-06
20230120_ER4_124_01_87,Vitamins,Niacin,Deplete,Particulate,-,A,0.00783382
20230120_ER4_124_01_88,Vitamins,Niacin,Deplete,Particulate,-,A,0.008593203
20230120_ER4_124_02_90,Vitamins,Niacin,Deplete,Particulate,-,B,0.009911728
20230120_ER4_124_02_91,Vitamins,Niacin,Deplete,Particulate,-,B,0.008414362
20230120_ER4_124_03_93,Vitamins,Niacin,Deplete,Particulate,-,C,0.008356739
20230120_ER4_124_03_94,Vitamins,Niacin,Deplete,Particulate,-,C,0.0092011
20230120_ER4_124_04_96,Vitamins,Niacin,Deplete,Particulate,+,A,0.008372535
20230120_ER4_124_04_97,Vitamins,Niacin,Deplete,Particulate,+,A,0.00972922
20230120_ER4_124_05_100,Vitamins,Niacin,Deplete,Particulate,+,B,0.008552683
20230120_ER4_124_05_99,Vitamins,Niacin,Deplete,Particulate,+,B,0.007362418
20230120_ER4_124_06_104,Vitamins,Niacin,Deplete,Particulate,+,C,0.005749676
20230120_ER4_124_06_105,Vitamins,Niacin,Deplete,Particulate,+,C,0.006076442
20230120_ER4_124_01_87,Vitamins,Niacinamide,Deplete,Particulate,-,A,0.000208635
20230120_ER4_124_01_88,Vitamins,Niacinamide,Deplete,Particulate,-,A,0.000272134
20230120_ER4_124_02_90,Vitamins,Niacinamide,Deplete,Particulate,-,B,0.000299787
20230120_ER4_124_02_91,Vitamins,Niacinamide,Deplete,Particulate,-,B,0.000201327
20230120_ER4_124_03_93,Vitamins,Niacinamide,Deplete,Particulate,-,C,0.000347819
20230120_ER4_124_03_94,Vitamins,Niacinamide,Deplete,Particulate,-,C,0.000362308
20230120_ER4_124_04_96,Vitamins,Niacinamide,Deplete,Particulate,+,A,0.000274133
20230120_ER4_124_04_97,Vitamins,Niacinamide,Deplete,Particulate,+,A,0.000240279
20230120_ER4_124_05_100,Vitamins,Niacinamide,Deplete,Particulate,+,B,0.000245561
20230120_ER4_124_05_99,Vitamins,Niacinamide,Deplete,Particulate,+,B,0.000142307
20230120_ER4_124_06_104,Vitamins,Niacinamide,Deplete,Particulate,+,C,0.000148592
20230120_ER4_124_06_105,Vitamins,Niacinamide,Deplete,Particulate,+,C,0.000119071
20230120_ER4_124_01_87,Osmolytes,Homarine,Deplete,Particulate,-,A,0.000257418
20230120_ER4_124_01_88,Osmolytes,Homarine,Deplete,Particulate,-,A,0.000271249
20230120_ER4_124_02_90,Osmolytes,Homarine,Deplete,Particulate,-,B,0.000197125
20230120_ER4_124_02_91,Osmolytes,Homarine,Deplete,Particulate,-,B,0.000187717
20230120_ER4_124_03_93,Osmolytes,Homarine,Deplete,Particulate,-,C,0.000161022
20230120_ER4_124_03_94,Osmolytes,Homarine,Deplete,Particulate,-,C,0.000168504
20230120_ER4_124_04_96,Osmolytes,Homarine,Deplete,Particulate,+,A,0.000111592
20230120_ER4_124_04_97,Osmolytes,Homarine,Deplete,Particulate,+,A,0.000132239
20230120_ER4_124_05_100,Osmolytes,Homarine,Deplete,Particulate,+,B,0.000121988
20230120_ER4_124_05_99,Osmolytes,Homarine,Deplete,Particulate,+,B,0.000115515
20230120_ER4_124_06_104,Osmolytes,Homarine,Deplete,Particulate,+,C,0.000108447
20230120_ER4_124_06_105,Osmolytes,Homarine,Deplete,Particulate,+,C,0.000106483
